town_low,town_high,distance_mi,rank,category,pct_graduated,school_to_school
Ipswich,Beverly,8.687484950177778,77,pct_graduated_high,91.0,Ipswich-Beverly
Newbury,Hamilton,8.708197936264018,78,pct_graduated_high,97.2,Newbury-Hamilton
Methuen,Groveland,8.742235481874381,79,pct_graduated_high,94.7,Methuen-Groveland
Rowley,Topsfield,8.781965738283064,80,pct_graduated_high,95.9,Rowley-Topsfield
Gloucester,Hamilton,8.789220302849722,81,pct_graduated_high,97.2,Gloucester-Hamilton
Ipswich,Newburyport,8.794455982710373,82,pct_graduated_high,94.6,Ipswich-Newburyport
Salem,Middleton,8.816292246351624,83,pct_graduated_high,95.9,Salem-Middleton
Middleton,North Andover,8.861898890882394,84,pct_graduated_high,97.3,Middleton-North Andover
Marblehead,Lynnfield,8.946003625179499,85,pct_graduated_high,97.5,Marblehead-Lynnfield
Amesbury,Georgetown,9.053987393332404,86,pct_graduated_high,95.5,Amesbury-Georgetown
Salem,Hamilton,9.056235129047684,87,pct_graduated_high,97.2,Salem-Hamilton
Salem,Manchester,9.064067512897635,88,pct_graduated_high,99.1,Salem-Manchester
Lawrence,Groveland,9.218136735579188,89,pct_graduated_high,94.7,Lawrence-Groveland
Haverhill,Andover,9.313462010627669,90,pct_graduated_high,95.2,Haverhill-Andover
Rockport,Manchester,9.32182162171862,91,pct_graduated_high,99.1,Rockport-Manchester
Andover,Boxford,9.39963004524344,92,pct_graduated_high,95.9,Andover-Boxford
Methuen,Georgetown,9.416447742331538,93,pct_graduated_high,95.5,Methuen-Georgetown
Haverhill,Amesbury,9.432995428782732,94,pct_graduated_high,87.9,Haverhill-Amesbury
Marblehead,Hamilton,9.476531826064932,95,pct_graduated_high,97.2,Marblehead-Hamilton
Saugus,Danvers,9.57372625400376,96,pct_graduated_high,95.8,Saugus-Danvers
Georgetown,Hamilton,9.644274943153622,97,pct_graduated_high,97.2,Georgetown-Hamilton
Lawrence,Middleton,9.746248479830118,98,pct_graduated_high,95.9,Lawrence-Middleton
Andover,Georgetown,9.747505053932809,99,pct_graduated_high,95.5,Andover-Georgetown
Haverhill,Salisbury,10.109357689480698,100,pct_graduated_high,89.5,Haverhill-Salisbury
Saugus,Beverly,10.167938912426532,101,pct_graduated_high,91.0,Saugus-Beverly
Georgetown,Danvers,10.201636133036132,102,pct_graduated_high,95.8,Georgetown-Danvers
Andover,Lynnfield,10.264085646401904,103,pct_graduated_high,97.5,Andover-Lynnfield
Gloucester,Ipswich,10.286158546833445,104,pct_graduated_high,90.8,Gloucester-Ipswich
Lynn,Boxford,10.36432465025636,105,pct_graduated_high,95.9,Lynn-Boxford
Swampscott,Topsfield,10.457407210268777,106,pct_graduated_high,95.9,Swampscott-Topsfield
Ipswich,Groveland,10.50318592490948,107,pct_graduated_high,94.7,Ipswich-Groveland
Rowley,North Andover,10.595961011815945,108,pct_graduated_high,97.3,Rowley-North Andover
Swampscott,Manchester,10.59850211551116,109,pct_graduated_high,99.1,Swampscott-Manchester
Marblehead,Topsfield,10.634881963318213,110,pct_graduated_high,95.9,Marblehead-Topsfield
Peabody,Manchester,10.89742855278487,111,pct_graduated_high,99.1,Peabody-Manchester
Gloucester,Beverly,10.9558361024831,112,pct_graduated_high,91.0,Gloucester-Beverly
Swampscott,Hamilton,10.979043471364784,113,pct_graduated_high,97.2,Swampscott-Hamilton
Boxford,Manchester,11.062451325444878,114,pct_graduated_high,99.1,Boxford-Manchester
Merrimac,Middleton,11.088968260199872,115,pct_graduated_high,95.9,Merrimac-Middleton
Newbury,Danvers,11.227650685583374,116,pct_graduated_high,95.8,Newbury-Danvers
Hamilton,Lynnfield,11.276499284588269,117,pct_graduated_high,97.5,Hamilton-Lynnfield
Groveland,Andover,11.297377400068251,118,pct_graduated_high,95.2,Groveland-Andover
Haverhill,Newburyport,11.334324255299892,119,pct_graduated_high,94.6,Haverhill-Newburyport
Saugus,Boxford,11.577205900611634,120,pct_graduated_high,95.9,Saugus-Boxford
Lynn,Hamilton,11.58051109203177,121,pct_graduated_high,97.2,Lynn-Hamilton
Lynn,Manchester,11.605556675732252,122,pct_graduated_high,99.1,Lynn-Manchester
Peabody,Ipswich,11.758579459620153,123,pct_graduated_high,90.8,Peabody-Ipswich
North Andover,Lynnfield,11.938911532163392,124,pct_graduated_high,97.5,North Andover-Lynnfield
Lawrence,Lynnfield,11.95438781934023,125,pct_graduated_high,97.5,Lawrence-Lynnfield
Peabody,Andover,12.063527257128282,126,pct_graduated_high,95.2,Peabody-Andover
Amesbury,Ipswich,12.148935466625495,127,pct_graduated_high,90.8,Amesbury-Ipswich
Lawrence,Rowley,12.169708775426864,128,pct_graduated_high,89.5,Lawrence-Rowley
Rockport,Hamilton,12.217801923766386,129,pct_graduated_high,97.2,Rockport-Hamilton
Beverly,Georgetown,12.234465974400331,130,pct_graduated_high,95.5,Beverly-Georgetown
Peabody,Georgetown,12.41794498133533,131,pct_graduated_high,95.5,Peabody-Georgetown
Methuen,Topsfield,12.442101289657243,132,pct_graduated_high,95.9,Methuen-Topsfield
Danvers,North Andover,12.472701117800066,133,pct_graduated_high,97.3,Danvers-North Andover
Andover,Danvers,12.515988078045464,134,pct_graduated_high,95.8,Andover-Danvers
Ipswich,Rockport,12.51727943650737,135,pct_graduated_high,94.9,Ipswich-Rockport
Newbury,Beverly,12.52232559194136,136,pct_graduated_high,91.0,Newbury-Beverly
Newburyport,Hamilton,12.895687904682754,137,pct_graduated_high,97.2,Newburyport-Hamilton
Gloucester,Marblehead,12.899264511038684,138,pct_graduated_high,95.1,Gloucester-Marblehead
Salem,Ipswich,12.964355516829128,139,pct_graduated_high,90.8,Salem-Ipswich
Newbury,Methuen,12.969386349249572,140,pct_graduated_high,93.2,Newbury-Methuen
Peabody,North Andover,12.983646178047747,141,pct_graduated_high,97.3,Peabody-North Andover
Georgetown,Lynnfield,13.00013446141318,142,pct_graduated_high,97.5,Georgetown-Lynnfield
Haverhill,Middleton,13.045684163488096,143,pct_graduated_high,95.9,Haverhill-Middleton
Gloucester,Danvers,13.162132013870128,144,pct_graduated_high,95.8,Gloucester-Danvers
Lawrence,Danvers,13.219430987655702,145,pct_graduated_high,95.8,Lawrence-Danvers
Lawrence,Peabody,13.34602148618582,146,pct_graduated_high,88.0,Lawrence-Peabody
Ipswich,North Andover,13.514457314090834,147,pct_graduated_high,97.3,Ipswich-North Andover
Rowley,Andover,13.542872599968398,148,pct_graduated_high,95.2,Rowley-Andover
Newbury,Manchester,13.555635495860168,149,pct_graduated_high,99.1,Newbury-Manchester
Groveland,Hamilton,13.56794630071523,150,pct_graduated_high,97.2,Groveland-Hamilton
Ipswich,Marblehead,13.58268546146308,151,pct_graduated_high,95.1,Ipswich-Marblehead
Amesbury,North Andover,13.642329098655866,152,pct_graduated_high,97.3,Amesbury-North Andover
