town_low,town_high,distance_mi,rank,category,hispanic_pct,school_to_school
Methuen,Lynn,0.0,259,hispanic_pct_low,46.0,Methuen-Lynn
Amesbury,Peabody,0.0,260,hispanic_pct_low,9.7,Amesbury-Peabody
Newburyport,Salem,0.0,261,hispanic_pct_low,4.3,Newburyport-Salem
Amesbury,Gloucester,0.0,262,hispanic_pct_low,9.7,Amesbury-Gloucester
Groveland,Marblehead,0.0,263,hispanic_pct_low,6.0,Groveland-Marblehead
Merrimac,Lynn,0.0,264,hispanic_pct_low,6.0,Merrimac-Lynn
Groveland,Swampscott,0.0,265,hispanic_pct_low,6.0,Groveland-Swampscott
Swampscott,Methuen,0.0,266,hispanic_pct_low,12.1,Swampscott-Methuen
Rockport,Amesbury,0.0,267,hispanic_pct_low,3.6,Rockport-Amesbury
Haverhill,Salem,0.0,268,hispanic_pct_low,40.9,Haverhill-Salem
Lynnfield,Amesbury,0.0,269,hispanic_pct_low,5.8,Lynnfield-Amesbury
Newburyport,Marblehead,0.0,270,hispanic_pct_low,4.3,Newburyport-Marblehead
Groveland,Saugus,0.0,271,hispanic_pct_low,6.0,Groveland-Saugus
Manchester,Haverhill,0.0,272,hispanic_pct_low,1.3,Manchester-Haverhill
Rockport,Groveland,0.0,273,hispanic_pct_low,3.6,Rockport-Groveland
Marblehead,Methuen,0.0,274,hispanic_pct_low,6.9,Marblehead-Methuen
Rockport,Lynnfield,0.0,275,hispanic_pct_low,3.6,Rockport-Lynnfield
Saugus,Haverhill,0.0,276,hispanic_pct_low,22.8,Saugus-Haverhill
Haverhill,Lynn,0.0,277,hispanic_pct_low,40.9,Haverhill-Lynn
Manchester,Methuen,0.0,278,hispanic_pct_low,1.3,Manchester-Methuen
Newburyport,Swampscott,0.0,279,hispanic_pct_low,4.3,Newburyport-Swampscott
Gloucester,North Andover,0.0,280,hispanic_pct_low,12.9,Gloucester-North Andover
Swampscott,Haverhill,0.0,281,hispanic_pct_low,12.1,Swampscott-Haverhill
Newburyport,Lynn,0.0,282,hispanic_pct_low,4.3,Newburyport-Lynn
Marblehead,Haverhill,0.0,283,hispanic_pct_low,6.9,Marblehead-Haverhill
Amesbury,Salem,0.0,284,hispanic_pct_low,9.7,Amesbury-Salem
Gloucester,Lawrence,0.0,285,hispanic_pct_low,12.9,Gloucester-Lawrence
Andover,Gloucester,0.0,286,hispanic_pct_low,7.9,Andover-Gloucester
Rockport,Saugus,0.0,287,hispanic_pct_low,3.6,Rockport-Saugus
Gloucester,Haverhill,0.0,288,hispanic_pct_low,12.9,Gloucester-Haverhill
Marblehead,Amesbury,0.0,289,hispanic_pct_low,6.9,Marblehead-Amesbury
Newburyport,Saugus,0.0,290,hispanic_pct_low,4.3,Newburyport-Saugus
Amesbury,Swampscott,0.0,291,hispanic_pct_low,9.7,Amesbury-Swampscott
Amesbury,Lynn,0.0,292,hispanic_pct_low,9.7,Amesbury-Lynn
Rockport,North Andover,0.0,293,hispanic_pct_low,3.6,Rockport-North Andover
Gloucester,Methuen,0.0,294,hispanic_pct_low,12.9,Gloucester-Methuen
