school_to_school,distance,distance_mi,towns_1,towns_2,loc1,lat1,lon1,loc2,lat2,lon2
Marblehead-Danvers,11.19507944,6.956299833777334,Marblehead,Danvers,17,42.492438,-70.869187,5,42.582062,-70.931438
Lynnfield-Swampscott,11.39026344,7.077581548126293,Lynnfield,Swampscott,15,42.539063,-71.033062,21,42.479062,-70.920438
Swampscott-Lynnfield,11.39026344,7.077581548126293,Swampscott,Lynnfield,21,42.479062,-70.920438,15,42.539063,-71.033062
Swampscott-Lynnfield,11.39026344,7.077581548126293,Swampscott,Lynnfield,31,42.479062,-70.920438,15,42.539063,-71.033062
Lynnfield-Swampscott,11.39026344,7.077581548126293,Lynnfield,Swampscott,15,42.539063,-71.033062,31,42.479062,-70.920438
Swampscott-Danvers,11.48849094,7.138617286692019,Swampscott,Danvers,21,42.479062,-70.920438,5,42.582062,-70.931438
Swampscott-Danvers,11.48849094,7.138617286692019,Swampscott,Danvers,31,42.479062,-70.920438,5,42.582062,-70.931438
Danvers-Swampscott,11.48849094,7.138617286692019,Danvers,Swampscott,5,42.582062,-70.931438,31,42.479062,-70.920438
Danvers-Swampscott,11.48849094,7.138617286692019,Danvers,Swampscott,5,42.582062,-70.931438,21,42.479062,-70.920438
Georgetown-Ipswich,11.75440902,7.303851120504134,Georgetown,Ipswich,7,42.724063,-70.986438,12,42.688563,-70.850938
Ipswich-Georgetown,11.75440902,7.303851120504134,Ipswich,Georgetown,12,42.688563,-70.850938,7,42.724063,-70.986438
Lynn-Danvers,11.76007724,7.307373189110715,Lynn,Danvers,14,42.476687,-70.943687,5,42.582062,-70.931438
Danvers-Lynn,11.76007724,7.307373189110715,Danvers,Lynn,5,42.582062,-70.931438,14,42.476687,-70.943687
Amesbury-Salisbury,12.07179374,7.5010648416583505,Amesbury,Salisbury,1,42.851062,-70.942437,29,42.744187,-70.916438
Salisbury-Amesbury,12.07179374,7.5010648416583505,Salisbury,Amesbury,29,42.744187,-70.916438,1,42.851062,-70.942437
Rowley-Amesbury,12.07179374,7.5010648416583505,Rowley,Amesbury,27,42.744187,-70.916438,1,42.851062,-70.942437
Newbury-Amesbury,12.07179374,7.5010648416583505,Newbury,Amesbury,22,42.744187,-70.916438,1,42.851062,-70.942437
Amesbury-Rowley,12.07179374,7.5010648416583505,Amesbury,Rowley,1,42.851062,-70.942437,27,42.744187,-70.916438
Amesbury-Newbury,12.07179374,7.5010648416583505,Amesbury,Newbury,1,42.851062,-70.942437,22,42.744187,-70.916438
Haverhill-Georgetown,12.08555762,7.509617320152967,Haverhill,Georgetown,11,42.787188,-71.106938,7,42.724063,-70.986438
Georgetown-Haverhill,12.08555762,7.509617320152967,Georgetown,Haverhill,7,42.724063,-70.986438,11,42.787188,-71.106938
Middleton-Ipswich,12.43097192,7.724247814786984,Middleton,Ipswich,20,42.624813,-70.975813,12,42.688563,-70.850938
Ipswich-Topsfield,12.43097192,7.724247814786984,Ipswich,Topsfield,12,42.688563,-70.850938,32,42.624813,-70.975813
Ipswich-Middleton,12.43097192,7.724247814786984,Ipswich,Middleton,12,42.688563,-70.850938,20,42.624813,-70.975813
Topsfield-Ipswich,12.43097192,7.724247814786984,Topsfield,Ipswich,32,42.624813,-70.975813,12,42.688563,-70.850938
Ipswich-Boxford,12.43097192,7.724247814786984,Ipswich,Boxford,12,42.688563,-70.850938,4,42.624813,-70.975813
Boxford-Ipswich,12.43097192,7.724247814786984,Boxford,Ipswich,4,42.624813,-70.975813,12,42.688563,-70.850938
North Andover-Groveland,12.45660531,7.740175664835019,North Andover,Groveland,24,42.700563,-71.116563,34,42.782938,-71.013188
